,market,code,liutongguben,province,industry,updated_date,ipo_date,zongguben,guojiagu,faqirenfarengu,farengu,bgu,hgu,zhigonggu,zongzichan,liudongzichan,gudingzichan,wuxingzichan,gudongrenshu,liudongfuzhai,changqifuzhai,zibengongjijin,jingzichan,zhuyingshouru,zhuyinglirun,yingshouzhangkuan,yingyelirun,touzishouyu,jingyingxianjinliu,zongxianjinliu,cunhuo,lirunzonghe,shuihoulirun,jinglirun,weifenpeilirun,meigujingzichan,baoliu2
15422,1,601577,995332734.375,21,1,20210610,20180926,4021553750.0,1801990000.0,15332110000.0,47525230000.0,0.0,0.0,4699.999988079071,7349536000000.0,0.0,17724410000.0,6131610000.0,41483.0,0.0,14230660000.0,111780250000.0,517842440000.0,48097590000.0,0.0,0.0,20283770000.0,5208640000.0,-114043220000.0,-77384540000.0,0.0,20272530000.0,16448490000.0,16109810000.0,203074460000.0,11.390000343322754,3.0
15423,1,601579,497360000.0,28,37,20210428,20140825,497360000.0,1205010000.0,341197890.625,2552029687.5,0.0,0.0,1800.0000715255737,44442070000.0,18413943750.0,15464150000.0,4674845000.0,43212.0,7745825625.0,245930000.0,17086498750.0,34528485000.0,3748055937.5,1861650937.5,1587945937.5,1142487968.75,11190000.0,3465000.0,-180940000.0,12087727500.0,1140946015.625,847387031.25,840628046.875,12382713750.0,0.0,3.0
15424,1,601588,2660000000.0,7,11,20210429,20061016,3367020000.0,1901010000.0,1971021562.5,24841540000.0,0.0,707020000.0,900.0000357627869,807049520000.0,686745920000.0,19153998750.0,97894003.90625,148671.0,368846640000.0,26735887500.0,37039705000.0,173726020000.0,65540105000.0,51178310000.0,1746614062.5,4539337187.5,-9225000.0,4743362812.5,-19968542500.0,534972360000.0,4578737187.5,3171077812.5,3234570000.0,65865475000.0,4.368000030517578,3.0
15425,1,601595,448200000.0,16,18,20210425,20160817,448200000.0,2110050000.0,-708988828.125,457701796.875,0.0,0.0,500.0000074505806,39908795000.0,17495956250.0,1450345000.0,457700000.0,28937.0,6446551875.0,-98180000.0,7548806250.0,19123715000.0,2228200937.5,1704221093.75,2070321093.75,243880000.0,13283999.0234375,611460976.5625,545271015.625,45260000.0,244170996.09375,210883007.8125,225345000.0,3473207812.5,0.0,3.0
15426,1,601598,1351637187.5,7,8,20210609,20190118,7400803750.0,1521010000.0,2422320000.0,163827110000.0,0.0,2144887031.25,1099.9999940395355,686700640000.0,307750120000.0,123343880000.0,60500030000.0,59182.0,262821160000.0,18904931250.0,60722875000.0,312881920000.0,289022580000.0,275889880000.0,148270480000.0,10370606250.0,4769862812.5,-21820230000.0,-24958687500.0,739965000.0,10412540625.0,8636827500.0,8348659375.0,167558400000.0,0.0,3.0
15427,1,601599,892725000.0,26,15,20210608,20110527,1160542421.875,1211100000.0,-634283281.25,5238197500.0,0.0,0.0,99.99999776482582,37311872500.0,24256440000.0,7919315000.0,813332968.75,29342.0,25147780000.0,191740000.0,9691218125.0,5436273750.0,5352471875.0,4442998750.0,6344746875.0,148595996.09375,588000.0305175781,-276835000.0,-1602362031.25,11628151250.0,166284003.90625,86347998.046875,70710000.0,-13750662500.0,0.609000027179718,3.0
15428,1,601600,13078707500.0,7,36,20210505,20070430,17022672500.0,1267150000.0,309280000.0,396960320000.0,0.0,3943965937.5,500.0000074505806,1962931840000.0,501736480000.0,962403200000.0,159955720000.0,416593.0,635153640000.0,174320440000.0,281648700000.0,553192200000.0,526139280000.0,470310600000.0,58963980000.0,20393550000.0,-1925300000.0,23333610000.0,-5671370000.0,207524840000.0,20034640000.0,15547790000.0,9667090000.0,-6819010000.0,2.9860000610351562,3.0
15429,1,601601,6845041250.0,16,1,20210610,20071225,9620341250.0,1811990000.0,83880000000.0,1382110080000.0,0.0,2775300000.0,8899.999856948853,18232471040000.0,0.0,161750000000.0,45040000000.0,117477.0,0.0,54880000000.0,796570000000.0,2214220000000.0,1512630080000.0,0.0,0.0,107860000000.0,273820000000.0,360550000000.0,32810000000.0,0.0,108410000000.0,87880000000.0,85470000000.0,900610000000.0,23.020000457763672,3.0
15430,1,601606,297726796.875,24,50,20210428,20180806,724228437.5,12990000.0,-349008906.25,1710327187.5,0.0,0.0,-399.9999910593033,37051062500.0,21650915000.0,9342986250.0,2501398125.0,68567.0,8798518750.0,156431992.1875,6649385000.0,23726210000.0,1578837031.25,1238428984.375,8367261250.0,-325095996.09375,0.0,-831845000.0,-1069685000.0,5966482500.0,-324709003.90625,-324709003.90625,-320140000.0,8767865000.0,0.0,3.0
15431,1,601607,1922935000.0,16,12,20210429,19940324,2842089375.0,1701600000.0,10380756875.0,404484000000.0,0.0,919072734.375,7500.0,1560350080000.0,1126253600000.0,102943820000.0,49812520000.0,107597.0,921902560000.0,93099080000.0,159070120000.0,474301840000.0,515999920000.0,445276720000.0,552748360000.0,29918287500.0,14884086250.0,-11000447500.0,-2121000000.0,237964000000.0,29971125000.0,23779860000.0,21201450000.0,271744980000.0,0.0,3.0
15432,1,601608,4339419375.0,13,26,20210427,20120706,4339419375.0,1273010000.0,210098808.59375,10794568750.0,0.0,0.0,0.0,201738560000.0,119102360000.0,38242872500.0,10008346250.0,107857.0,107536340000.0,3358226875.0,19789905000.0,73580590000.0,18853948750.0,14704672500.0,28057790000.0,695903984.375,28545000.0,-3899505000.0,-6527151875.0,51638480000.0,744336015.625,676985000.0,632873007.8125,2809036875.0,0.0,3.0
15433,1,601609,597449492.1875,28,36,20210610,20200422,1480471562.5,1267010000.0,553903593.75,77849630000.0,0.0,0.0,700.0000029802322,187472960000.0,136112960000.0,31301790000.0,5203712812.5,65361.0,79190945000.0,1383654062.5,17710668750.0,70612610000.0,156993920000.0,150630910000.0,48836790000.0,1743314062.5,-1051363984.375,-37271045000.0,9063543750.0,42235605000.0,1689409062.5,1031275937.5,1016599062.5,29399962500.0,4.684999942779541,3.0
15434,1,601611,2625022187.5,16,21,20210702,20160606,2649620625.0,1401990000.0,1316887812.5,123353800000.0,0.0,0.0,1299.9999523162842,1579858880000.0,1026931360000.0,38228655000.0,49504565000.0,110087.0,969061280000.0,90891950000.0,16483811250.0,174111440000.0,212349980000.0,196612160000.0,276758480000.0,6095398125.0,306748007.8125,-41038827500.0,-15756987500.0,74873790000.0,6118563125.0,4696189062.5,3361493125.0,67578875000.0,4.4679999351501465,3.0
15435,1,601615,1472608281.25,12,26,20210604,20190123,1950928750.0,1271100000.0,1473634531.25,29778850000.0,0.0,0.0,1400.0000059604645,516398800000.0,321456320000.0,58147200000.0,10856445000.0,88303.0,262834600000.0,2874639062.5,107291290000.0,158205250000.0,43341495000.0,34275860000.0,38542105000.0,3344521250.0,472175976.5625,-15446412500.0,-13447930000.0,92431560000.0,3345919062.5,2444939062.5,2558930000.0,29846485000.0,0.0,3.0
15436,1,601616,935575000.0,16,29,20210604,20110201,935575000.0,1276100000.0,110952802.734375,2303055468.75,0.0,0.0,0.0,30190225000.0,16383856250.0,2989650937.5,2292564062.5,52463.0,4272840937.5,1203838984.375,13475387500.0,23938740000.0,2279745000.0,1579775000.0,4339878125.0,216465000.0,11015000.0,26013000.48828125,-2498201875.0,1815467031.25,216448007.8125,195956992.1875,155787001.953125,2445211875.0,0.0,3.0
15437,1,601618,17852618750.0,7,21,20210430,20090921,20723618750.0,1401990000.0,18921090000.0,727249200000.0,0.0,2871000000.0,1000.0000149011612,5282995200000.0,4093951680000.0,242444700000.0,175674980000.0,401932.0,3474660800000.0,431807520000.0,224616020000.0,999987680000.0,944233760000.0,836209600000.0,752903360000.0,39729860000.0,-1354490000.0,-129871120000.0,-42493140000.0,606055800000.0,40541580000.0,30380680000.0,21370390000.0,345985360000.0,3.8359999656677246,3.0
