,code,name,pre_close,volunit,decimal_point,value,type,kind,market,type2,py
71,399281,电子50,2857.986328125,100.0,2.0,,指数板块,指数,0,0,DZ5
72,399282,大数据50,3991.7998046875,100.0,2.0,,指数板块,指数,0,0,DSJ5
73,399283,机器人50,3068.9453125,100.0,2.0,,指数板块,指数,0,0,JQR5
74,399284,AI 50,3021.744384765625,100.0,2.0,,指数板块,指数,0,0,A
75,399285,物联网50,3581.932861328125,100.0,2.0,,指数板块,指数,0,0,WLW5
76,399286,区块链50,3148.140380859375,100.0,2.0,,指数板块,指数,0,0,QKL5
77,399289,碳中和债,107.72370147705078,100.0,2.0,,指数板块,指数,0,0,TZHZ
78,399290,深转交债,164.7093963623047,100.0,2.0,,指数板块,指数,0,0,SZJZ
79,399291,创精选88,3731.63818359375,100.0,2.0,,指数板块,指数,0,0,CJX8
80,399292,民企发展,1108.008056640625,100.0,2.0,,指数板块,指数,0,0,MQFZ
81,399293,创业大盘,4956.49951171875,100.0,2.0,,指数板块,指数,0,0,CYDP
82,399294,中小创Q,3243.41552734375,100.0,2.0,,指数板块,指数,0,0,ZXCQ
83,399295,创价值,5062.8994140625,100.0,2.0,,指数板块,指数,0,0,CJZ
84,399296,创成长,5973.13037109375,100.0,2.0,,指数板块,指数,0,0,CCZ
85,399297,新浪100,4179.74755859375,100.0,2.0,,指数板块,指数,0,0,XL1
86,399298,深信中高,191.7747039794922,100.0,2.0,,指数板块,指数,0,0,SXZG
87,399299,深信中低,221.24130249023438,100.0,2.0,,指数板块,指数,0,0,SXZD
88,399300,沪深300,4086.8779296875,100.0,2.0,,指数板块,指数,0,0,HS3
89,399301,深信用债,195.231201171875,100.0,2.0,,指数板块,指数,0,0,SXYZ
90,399302,深公司债,198.3874969482422,100.0,2.0,,指数板块,指数,0,0,SGSZ
91,399303,国证2000,8477.37890625,100.0,2.0,,指数板块,指数,0,0,GZ2
92,399306,深证ETF,1500.303955078125,100.0,2.0,,指数板块,指数,0,0,SZE
93,399307,深证转债,304.0089111328125,100.0,2.0,,指数板块,指数,0,0,SZZZ
94,399310,国证A50,6628.21142578125,100.0,2.0,,指数板块,指数,0,0,GZA
95,399311,国证1000,4324.87890625,100.0,2.0,,指数板块,指数,0,0,GZ1
96,399312,国证300,4835.41162109375,100.0,2.0,,指数板块,指数,0,0,GZ3
97,399313,巨潮100,4832.205078125,100.0,2.0,,指数板块,指数,0,0,JC1
98,399314,巨潮大盘,4465.90380859375,100.0,2.0,,指数板块,指数,0,0,JCDP
99,399315,巨潮中盘,4299.5927734375,100.0,2.0,,指数板块,指数,0,0,JCZP
100,399316,巨潮小盘,5026.5595703125,100.0,2.0,,指数板块,指数,0,0,JCXP
101,399317,国证Ａ指,5509.54150390625,100.0,2.0,,指数板块,指数,0,0,GZＡZ
102,399318,国证Ｂ指,5023.81689453125,100.0,2.0,,指数板块,指数,0,0,GZＢZ
103,399319,资源优势,2323.99462890625,100.0,2.0,,指数板块,指数,0,0,ZYYS
104,399320,国证服务,2100.942626953125,100.0,2.0,,指数板块,指数,0,0,GZFW
105,399321,国证红利,6364.0859375,100.0,2.0,,指数板块,指数,0,0,GZHL
106,399322,国证治理,8523.9697265625,100.0,2.0,,指数板块,指数,0,0,GZZL
107,399324,深证红利,9512.5078125,100.0,2.0,,指数板块,指数,0,0,SZHL
108,399326,成长40,5242.94384765625,100.0,2.0,,指数板块,指数,0,0,CZ4
109,399328,深证治理,10485.4609375,100.0,2.0,,指数板块,指数,0,0,SZZL
110,399330,深证100,5468.17041015625,100.0,2.0,,指数板块,指数,0,0,SZ1
111,399333,中小100R,9163.8369140625,100.0,2.0,,指数板块,指数,0,0,ZX1
112,399335,深证央企,4465.1806640625,100.0,2.0,,指数板块,指数,0,0,SZYQ
