code,tradeStatus,code_name,code2,market2,market,type,kind,type2
605058,1,澳弘电子,sh.605058,sh,1,证券,A股股票,1
605060,1,联德股份,sh.605060,sh,1,证券,A股股票,1
605066,1,天正电气,sh.605066,sh,1,证券,A股股票,1
605068,1,明新旭腾,sh.605068,sh,1,证券,A股股票,1
605069,1,正和生态,sh.605069,sh,1,证券,A股股票,1
605077,1,华康股份,sh.605077,sh,1,证券,A股股票,1
605080,1,浙江自然,sh.605080,sh,1,证券,A股股票,1
605081,1,太和水,sh.605081,sh,1,证券,A股股票,1
605086,1,龙高股份,sh.605086,sh,1,证券,A股股票,1
605088,1,冠盛股份,sh.605088,sh,1,证券,A股股票,1
605089,1,味知香,sh.605089,sh,1,证券,A股股票,1
605090,1,九丰能源,sh.605090,sh,1,证券,A股股票,1
605098,1,行动教育,sh.605098,sh,1,证券,A股股票,1
605099,1,共创草坪,sh.605099,sh,1,证券,A股股票,1
605100,1,华丰股份,sh.605100,sh,1,证券,A股股票,1
605108,1,同庆楼,sh.605108,sh,1,证券,A股股票,1
605111,1,新洁能,sh.605111,sh,1,证券,A股股票,1
605116,1,奥锐特,sh.605116,sh,1,证券,A股股票,1
605117,1,德业股份,sh.605117,sh,1,证券,A股股票,1
605118,1,力鼎光电,sh.605118,sh,1,证券,A股股票,1
605122,1,四方新材,sh.605122,sh,1,证券,A股股票,1
605123,1,派克新材,sh.605123,sh,1,证券,A股股票,1
605128,1,上海沿浦,sh.605128,sh,1,证券,A股股票,1
605133,1,嵘泰股份,sh.605133,sh,1,证券,A股股票,1
605136,1,丽人丽妆,sh.605136,sh,1,证券,A股股票,1
605138,1,盛泰集团,sh.605138,sh,1,证券,A股股票,1
605151,1,西上海,sh.605151,sh,1,证券,A股股票,1
605155,1,西大门,sh.605155,sh,1,证券,A股股票,1
605158,1,华达新材,sh.605158,sh,1,证券,A股股票,1
605162,1,新中港,sh.605162,sh,1,证券,A股股票,1
605166,1,聚合顺,sh.605166,sh,1,证券,A股股票,1
605167,1,利柏特,sh.605167,sh,1,证券,A股股票,1
605168,1,三人行,sh.605168,sh,1,证券,A股股票,1
